类别,标准编号,标准名称
装备技术,TB/T3458-2016,动车组前端开闭机构
装备技术,TB/T3459-2016,铁道客车及动车组用差压阀
装备技术,TB/T3460-2016,铁道客车及动车组用溢流阀
装备技术,TB/T3472-2017,动车组司机操纵台布置
装备技术,TB/T3475.1-2017,机车、动车组用柴油机零部件 第1部分：曲轴
装备技术,TB/T3475.11-2018,机车、动车组用柴油机零部件 第11部分：燃油电喷控制器
装备技术,TB/T3475.14-2017,机车、动车组用柴油机零部件 第14部分：波纹金属软管
装备技术,TB/T3475.2-2017,机车、动车组用柴油机零部件 第2部分：曲轴扭振减振器
装备技术,TB/T3475.3-2019,机车、动车组用柴油机零部件 第3部分：连杆
装备技术,TB/T3475.4-2017,机车、动车组用柴油机零部件 第4部分：活塞
装备技术,TB/T3475.5-2019,机车、动车组用柴油机零部件 第5部分：主轴瓦及连杆轴瓦
装备技术,TB/T3475.7-2020,机车、动车组柴油机零部件 第7部分：气缸盖
装备技术,TB/T3475.8-2020,机车、动车组柴油机零部件 第8部分：增压器
装备技术,TB/T3491-2017,电动车组司机室设计规范
装备技术,TB/T3500-2018,动车组车体耐撞性要求与验证规范
装备技术,TB/T3502-2018,铁道客车及动车组模态试验方法及评定
装备技术,TB/T3506-2018,动车组用整体车轮设计准则
装备技术,TB/T3512-2018,电动车组网络控制系统软件集成测试规范
装备技术,TB/T3513-2018,高速铁路桥涵防公路车辆撞击装置
装备技术,TB/T3542-2018,高速铁路CZ道岔制造技术条件
装备技术,TB/T3551-2019,高速铁路牵引供电系统雷电防护技术导则
装备技术,TB/T3559-2020,城际铁路站台门系统
装备技术,TB/T3560-2020,铁路客车及动车组安全锤
装备技术,TB/T3566-2021,电动车组救援制动指令转换装置
装备技术,TB/T3582-2023,动车组应急通风系统
装备技术,TB/T3585-2023,机车车辆车轴 动车组
装备技术,TB/T3586-2023,电力机车及电动车组牵引辅助系统试验方法 牵引性能试验
装备技术,TB/T3587-2023,电力机车及电动车组牵引辅助系统试验方法 辅助性能试验
装备技术,TB/T3588-2023,电力机车及电动车组牵引辅助系统试验方法 阻力、效率及能量消耗试验
装备技术,TB/T3597-2024,市域（郊）铁路动车组
装备技术,TB/T3600-2020,350km/h高速电动车组通用技术条件
装备技术,TB/T3611-2025,机车车辆冷却系统 电力机车和电动车组
装备技术,GB/T3319-2015,电力机车和电动车组额定功率的确定
装备技术,GB/T25122.4-2018,轨道交通 机车车辆用电力变流器 第4部分：电动车组牵引变流器
装备技术,GB/T25331-2010,电力机车、电力动车组主变流器用水散热器
装备技术,GB/T28791-2024,机车车辆标志 车辆及动车组
装备技术,GB/T32595-2016,铁道客车及动车组用电气控制柜
装备技术,GB/T34575-2023,轨道交通 机车车辆变流设备 机车、动车组辅助变流器
装备技术,GB/T37333-2019,铁道客车及动车组无障碍设施通用技术条件
装备技术,GB/T37439-2019,高速铁路预制后张法预应力混凝土简支梁
装备技术,GB/T37863.2-2021,轨道交通 牵引电传动系统 第2部分：机车、动车组
工程建设,TB10028-2016,铁路动车组设备设计规范
工程建设,TB10182-2017,公路与市政工程下穿高速铁路技术规程
工程建设,TB10601-2009,高速铁路工程测量规范
工程建设,TB10621-2014,高速铁路设计规范
工程建设,TB10623-2014,城际铁路设计规范
工程建设,TB10671-2019,高速铁路安全防护设计规范
工程建设,TB10751-2018,高速铁路路基工程施工质量验收标准
工程建设,TB10752-2018,高速铁路桥涵工程施工质量验收标准
工程建设,TB10753-2018,高速铁路隧道工程施工质量验收标准
工程建设,TB10754-2018,高速铁路轨道工程施工质量验收标准
工程建设,TB10755-2018,高速铁路通信工程施工质量验收标准
工程建设,TB10756-2018,高速铁路信号工程施工质量验收标准
工程建设,TB10757-2018,高速铁路电力工程施工质量验收标准
工程建设,TB10758-2018,高速铁路电力牵引供电工程施工质量验收标准
工程建设,TB10760-2021,高速铁路工程静态验收技术规范
工程建设,TB10761-2024,高速铁路工程动态验收技术规范 143 国能油气〔2015〕392号 油气输送管道与铁路交汇工程技术及管理规定 144 建标〔2008〕232号 新建铁路工程项目建设用地指标
运输服务,TB/T1828-2004,铁道机车和动车组司机室人体全身振动限值和测量方法
运输服务,GB/T3450-2006,铁道机车和动车组司机室噪声限值及测量方法
