类别,标准编号,标准名称
装备技术,TB/T1817-2015,机车、动车用柴油机气门
装备技术,TB/T1842.1-2002,电力机车受电弓滑板 粉末冶金滑板
装备技术,TB/T1842.2-2016,受电弓滑板 第2部分：碳基复合材料滑板
装备技术,TB/T1842.3-2016,受电弓滑板 第3部分：碳滑板
装备技术,TB/T1844-1987,25kV交流电气化铁道用无间隙金属氧化物避雷器技术条件
装备技术,TB/T1853-2018,铁路桥梁钢支座
装备技术,TB/T1864-2005,驼峰车轮传感器通用技术条件
装备技术,TB/T1865-2006,T·CJ型驼峰音频测长器
装备技术,TB/T1866-2006,驼峰溜放车组测重设备通用技术条件
装备技术,TB/T1869.1-2013,铁路信号用变压器 第1部分：通用技术条件
装备技术,TB/T1869.2-2013,铁路信号用变压器 第2部分：信号变压器
装备技术,TB/T1869.3-2013,铁路信号用变压器 第3部分：50Hz系列轨道变压器
装备技术,TB/T1869.4-2013,铁路信号用变压器 第4部分：25Hz系列轨道变压器
装备技术,TB/T1869.5-2013,铁路信号用变压器 第5部分：BZ系列中继变压器
装备技术,TB/T1869.6-2018,铁路信号用变压器 第6部分：道岔表示变压器
装备技术,TB/T1869.7-2023,铁路信号变压器 第7部分：BE系列扼流变压器
装备技术,TB/T1869.8-2017,铁路信号用变压器 第8部分：信号设备雷电防护用变压器
装备技术,TB/T1871-2023,铁路信号箱盒
装备技术,TB/T1875-1987,列车无线电通信天线类型 、基本参数及测量方法
装备技术,TB/T1876-2011,450MHz铁路列车无线电通信最小可用接收电平及其测量方法
装备技术,TB/T1878-2002,预应力混凝土枕疲劳试验方法
装备技术,TB/T1879-2002,预应力混凝土枕静载抗裂试验方法
装备技术,TB/T1881-1987,交流电气化铁路对电信线路静电危险影响的计算条件和计算方法
装备技术,TB/T1900-2016,铁道车辆储风缸
装备技术,TB/T1910-2018,铁路线路机械词汇
装备技术,TB/T1911-2020,弹条I型调高扣件
装备技术,TB/T1917-2023,铁路信号机 灯泡
装备技术,TB/T1924-2008,标准轨距铁路轨距尺
装备技术,TB/T1941-2013,铁路货车篷布
装备技术,TB/T1955-2000,铁道客车采暖通风设计参数
装备技术,TB/T1961-2023,钩缓装置及组件 缓冲器
装备技术,TB/T1978-2018,铁路货车转向架 组合式制动梁
装备技术,TB/T1979-2023,机车车辆特种金属材料 耐大气腐蚀钢
装备技术,TB/T2007-2015,电气化铁路接触网用绝缘子选用导则
装备技术,TB/T2009-1987,牵引供电系统并联电容无功补偿的计算条件和方法
装备技术,TB/T2019-1988,交流电气化铁路对通信电缆线路危险影响的计算条件和方法
装备技术,TB/T2024-2023,铁路信号继电器 交流二元继电器
装备技术,TB/T2026-2018,轨道电路防护盒
装备技术,TB/T2033-2003,轨道平车通用技术条件
装备技术,TB/T2054-2017,机车淋雨试验方法
装备技术,TB/T2073-2020,电气化铁路接触网零部件技术条件
装备技术,TB/T2074-2020,电气化铁路接触网零部件试验方法
装备技术,TB/T2075.1-2024,电气化铁路接触网零部件 第1部分：腕臂支撑装置
装备技术,TB/T2075.2-2024,电气化铁路接触网零部件 第2部分：腕臂底座
装备技术,TB/T2075.3-2024,电气化铁路接触网零部件 第3部分：限位型定位装置
装备技术,TB/T2075.4-2024,电气化铁路接触网零部件 第4部分：非限位型定位装置
装备技术,TB/T2075.5-2024,电气化铁路接触网零部件 第5部分：终端锚固线夹
装备技术,TB/T2075.6-2024,电气化铁路接触网零部件 第6部分：中心锚结装置
装备技术,TB/T2075.7-2024,电气化铁路接触网零部件 第7部分：整体吊弦及吊弦线夹
装备技术,TB/T2075.8-2024,电气化铁路接触网零部件 第8部分：弹性吊索装置
装备技术,TB/T2075.9-2024,电气化铁路接触网零部件 第9部分：接头连接线夹
装备技术,TB/T2075.10-2024,电气化铁路接触网零部件 第10部分：线岔
装备技术,TB/T2075.11-2024,电气化铁路接触网零部件 第11部分：电连接装置
装备技术,TB/T2075.12-2024,电气化铁路接触网零部件 第12部分：滑轮补偿装置
装备技术,TB/T2075.13-2024,电气化铁路接触网零部件 第13部分：棘轮补偿装置
装备技术,TB/T2075.14-2024,电气化铁路接触网零部件 第14部分：弹簧补偿装置
装备技术,TB/T2075.15-2024,电气化铁路接触网零部件 第15部分：坠砣及坠砣限制架
装备技术,TB/T2075.16-2024,电气化铁路接触网零部件 第16部分：软横跨支撑固定装置
装备技术,TB/T2075.17-2024,电气化铁路接触网零部件 第17部分：软横跨连接装置
装备技术,TB/T2075.18-2024,电气化铁路接触网零部件 第18部分：软横跨悬吊装置
装备技术,TB/T2075.19-2024,电气化铁路接触网零部件 第19部分：接地线夹及连接装置
装备技术,TB/T2075.20-2024,电气化铁路接触网零部件 第20部分：附加导线零部件
装备技术,TB/T2075.21-2024,电气化铁路接触网零部件 第21部分：隧道水平悬挂装置
装备技术,TB/T2075.22-2024,电气化铁路接触网零部件 第22部分：隧道支撑及定位装置
装备技术,TB/T2075.23-2024,电气化铁路接触网零部件 第23部分：隧道下锚补偿装置
装备技术,TB/T2075.24-2020,电气化铁路接触网零部件 第24部分：预绞式金具
装备技术,TB/T2081-2016,铁路信号灯光颜色
装备技术,TB/T2092-2018,简支梁试验方法 预应力混凝土梁静载弯曲试验
装备技术,TB/T2093-2002,吸水式锚固包技术条件
装备技术,TB/T2101-2018,铁路施工机械词汇
装备技术,TB/T2117-1990,铁路机车信号技术条件
装备技术,TB/T2119-1990,电气集中联锁试验技术条件
装备技术,TB/T2120-1990,铁路信号交流继电器通用技术条件
装备技术,TB/T2121-1999,铁路地面信号机及信号表示器用玻璃
装备技术,TB/T2122-1990,DK·SW型道口无绝缘轨道电路收发器
装备技术,TB/T2123-1990,DK·Y3型道口音响器
装备技术,TB/T2137-1990,铁路钢桥栓接板面抗滑移系数试验方法
装备技术,TB/T2139-2004,轻型轨道车技术条件
装备技术,TB/T2140-2008,铁路碎石道砟
装备技术,TB/T2140.2-2018,铁路碎石道砟 第2部分：试验方法
装备技术,TB/T2175-2021,列车尾部侧灯
装备技术,TB/T2180-2018,电气化铁路接触网检修作业车
装备技术,TB/T2187-2014,起重轨道车
装备技术,TB/T2206-2018,铁路货车制动系统用橡胶件
装备技术,TB/T2211-2018,机车车辆用压缩钢制螺旋弹簧
装备技术,TB/T2218-2021,机车车辆通过最小半径曲线计算与试验
装备技术,TB/T2219-2005,铁道客车双端荧光灯用直流电子镇流器
装备技术,TB/T2226-2024,机车车辆运行安全监测系统设备 轴温报警装置
装备技术,TB/T2231.1-2017,铁道车辆制动系统 第1部分：客车
装备技术,TB/T2231.2-2018,铁道车辆制动系统 第2部分：货车
装备技术,TB/T2286-2020,电气化铁路接触网预应力混凝土支柱
装备技术,TB/T2296-2019,铁路信号计轴设备
装备技术,TB/T2306-2020,自动化驼峰技术条件
装备技术,TB/T2307-2017,集中联锁结合电路一般原则
装备技术,TB/T2309-1992,铁路信号有极继电器通用技术条件
装备技术,TB/T2310-1992,铁路信号设备雷电防护用气体放电管
装备技术,TB/T2311-2017,铁路通信、信号、电力电子系统防雷设备
装备技术,TB/T2312-1992,铁路信号设备雷电防护用氧化锌压敏电阻器
装备技术,TB/T2313-1992,铁路信号用变压器、继电器、硅整流器雷电冲击试验
装备技术,TB/T2316-1992,交流电气化铁道对有线广播线路干扰影响容许值
装备技术,TB/T2325.1-2019,机车车辆视听警示装置 第1部分：前照灯
装备技术,TB/T2325.2-2019,机车车辆视听警示装置 第2部分：辅助照明灯和标志灯
装备技术,TB/T2325.3-2020,机车车辆视听警示装置 第3部分：电笛
装备技术,TB/T2331-2020,铁路桥梁橡胶支座
装备技术,TB/T2333-2010,液压复轨器
装备技术,TB/T2340-2012,钢轨超声波探伤仪
装备技术,TB/T2344.1-2020,钢轨 第1部分：43kg/m～75kg/m钢轨
装备技术,TB/T2344.2-2020,钢轨 第2部分：道岔用非对称断面钢轨
装备技术,TB/T2344.3-2018,钢轨 第3部分: 异型钢轨
装备技术,TB/T2345-2008,43kg/m～75kg/m钢轨接头夹板订货技术条件
装备技术,TB/T2346-1993,43～75 kg/m钢轨用垫板供货技术要求
装备技术,TB/T2347-1993,钢轨用高强度接头螺栓与螺母
装备技术,TB/T2349-2016,铁路钢桥连接疲劳试验方法
装备技术,TB/T2353-2018,铁路信号灯光发光强度
装备技术,TB/T2355-2005,铁路区间电话通话柱技术要求和试验方法
装备技术,TB/T2370-1993,铁路旅客列车纵向动力学试验方法与评定指标
装备技术,TB/T2395-2018,机车车辆动力车轴设计方法
装备技术,TB/T2396-2017,铁道客车 发电车
装备技术,TB/T2427-2023,机车车辆轴箱 滚动轴承轴箱
装备技术,TB/T2429-1993,铁道货车转向架基础制动装置技术条件
装备技术,TB/T2433-2019,铁路客车及动车组空调装置运用试验方法
装备技术,TB/T2456.15-2006,铁道货车减振器斜楔量规
装备技术,TB/T2460-2016,铁道车辆减速顶
装备技术,TB/T2464-1993,交流电气化铁道对调幅广播收音台无线电干扰的防护距离
装备技术,TB/T2465-2010,铁路车站电码化技术条件
装备技术,TB/T2468-2018,铁路信号产品可靠性要求评定方法
装备技术,TB/T2471-2021,道口信号机
